Reference,Total,Net,Profit,Invoice Company,Invoice Registration Number,HolderName,HolderEmail,HolderPhone,HolderAddress,HolderZipCode,MarkUp,Create At
241-823811,EUR 350,EUR 385.46,EUR -35.46,HOTELBEDS S.L.U.,ESB57218372,sha mol,shanemolale@gmail.com,77777777777,shane@bidata.cloud,2111,5.0 %,2023-07-30 23:28:10
102-14065778,EUR 326.93,EUR 311.37,EUR 15.56,HOTELBEDS S.L.U.,ESB57218372,sha mol,shanemolale@gmail.com,55555555555,ffff@hhh.bon,4444,5.0 %,2023-07-30 23:10:10
102-14063614,EUR 36.7,EUR 34.96,EUR 1.74,HOTELBEDS S.L.U.,ESB57218372,first developer,dounine423@gmail.com,1234567810,Cape Town,12345,5.0 %,2023-07-30 09:27:31
241-550500,EUR 301.89,EUR 332.48,EUR -30.59,HOTELBEDS S.L.U.,ESB57218372,sha mol,shanemolale@gmail.com,25456698712,shane@gmail.com,4587,5.0 %,2023-07-26 00:26:33
102-10949401,EUR 36.85,EUR 35.1,EUR 1.75,HOTELBEDS S.L.U.,ESB57218372,first developer,dounine423@gmail.com,1234567810,Cape Town,12345,5.0 %,2023-07-25 08:11:17
241-550400,EUR 181.41,EUR 199.8,EUR -18.39,HOTELBEDS S.L.U.,ESB57218372,fffff jhvhhh,hbuser@gmail.com,23333225555,hid@comm.com,1122,5.0 %,2023-07-25 07:50:57
102-10949300,EUR 18.42,EUR 17.55,EUR 0.87,HOTELBEDS S.L.U.,ESB57218372,sha mol,shanemolale@gmail.com,+22222222222,r55u ggg,1222,5.0 %,2023-07-25 07:38:16
241-550301,EUR 342.23,EUR 376.86,EUR -34.63,HOTELBEDS S.L.U.,ESB57218372,sha mol,shanemolale@gmail.com,2334444444,ddd@jjff.com,1234,5.0 %,2023-07-25 07:04:59
241-550000,EUR 301.89,EUR 332.48,EUR -30.59,HOTELBEDS S.L.U.,ESB57218372,sha mol,shanemolale@gmail.com,1234578987,shanemolale@gmail.com,1455,5.0 %,2023-07-25 06:04:23
102-10947300,EUR 33.3,EUR 31.72,EUR 1.58,HOTELBEDS S.L.U.,ESB57218372,sha mol,shanemolale@gmail.com,1234568792,45 djkekjejj,2456,5.0 %,2023-07-25 05:55:21
241-549801,EUR 208,EUR 229.04,EUR -21.04,HOTELBEDS S.L.U.,ESB57218372,ggg jjjj,hbuser@gmail.com,11222222222,fgfgf@jjj.bon,1233,5.0 %,2023-07-25 05:41:34
102-10947000,EUR 51.25,EUR 48.81,EUR 2.44,HOTELBEDS S.L.U.,ESB57218372,first developer,dounine423@gmail.com,1234567810,Cape Town,12345,5.0 %,2023-07-25 05:41:03
102-10946900,EUR 137.65,EUR 131.1,EUR 6.55,HOTELBEDS S.L.U.,ESB57218372,admin bookvacay,admin@bookvacay.online,12345678910,Cape Town,123456,5.0 %,2023-07-25 05:36:24
102-10946800,EUR 51.25,EUR 48.81,EUR 2.44,HOTELBEDS S.L.U.,ESB57218372,admin bookvacay,admin@bookvacay.online,12345678910,Cape Town,123456,5.0 %,2023-07-25 05:34:03
102-10946700,EUR 51.25,EUR 48.81,EUR 2.44,HOTELBEDS S.L.U.,ESB57218372,admin bookvacay,admin@bookvacay.online,12345678910,Cape Town,123456,5.0 %,2023-07-25 05:31:37
102-10946301,EUR 15.6,EUR 14.86,EUR 0.74,HOTELBEDS S.L.U.,ESB57218372,admin bookvacay,admin@bookvacay.online,12345678910,Cape Town,123456,5.0 %,2023-07-25 05:17:12
102-10945101,EUR 51.25,EUR 48.81,EUR 2.44,HOTELBEDS S.L.U.,ESB57218372,first developer,dounine423@gmail.com,1234567810,Cape Town,12345,5.0 %,2023-07-25 03:03:08
